Approval,Date,Value,Variable,date
Don't know,27/09/2011,0.15,All Adults,27/09/2011
Approve,28/09/2011,0.25,All Adults,28/09/2011
Disapprove,29/09/2011,0.6,All Adults,29/09/2011
Don't know,30/09/2011,0.15,All Adults,30/09/2011
Approve,01/10/2011,0.24,All Adults,01/10/2011
Disapprove,02/10/2011,0.61,All Adults,02/10/2011
Don't know,03/10/2011,0.15,All Adults,03/10/2011
Approve,04/10/2011,0.25,All Adults,04/10/2011
Disapprove,05/10/2011,0.6,All Adults,05/10/2011
Don't know,06/10/2011,0.15,All Adults,06/10/2011
Approve,07/10/2011,0.24,All Adults,07/10/2011
Disapprove,08/10/2011,0.6,All Adults,08/10/2011
Don't know,09/10/2011,0.16,All Adults,09/10/2011
Approve,10/10/2011,0.23,All Adults,10/10/2011
Disapprove,11/10/2011,0.61,All Adults,11/10/2011
Don't know,12/10/2011,0.15,All Adults,12/10/2011
Approve,13/10/2011,0.23,All Adults,13/10/2011
Disapprove,14/10/2011,0.62,All Adults,14/10/2011
Don't know,15/10/2011,0.15,All Adults,15/10/2011
Approve,16/10/2011,0.23,All Adults,16/10/2011
Disapprove,17/10/2011,0.62,All Adults,17/10/2011
Don't know,18/10/2011,0.15,All Adults,18/10/2011
Approve,19/10/2011,0.25,All Adults,19/10/2011
Disapprove,20/10/2011,0.6,All Adults,20/10/2011
Don't know,21/10/2011,0.15,All Adults,21/10/2011
Approve,22/10/2011,0.24,All Adults,22/10/2011
Disapprove,23/10/2011,0.61,All Adults,23/10/2011
Don't know,24/10/2011,0.15,All Adults,24/10/2011
Approve,25/10/2011,0.24,All Adults,25/10/2011
Disapprove,26/10/2011,0.6,All Adults,26/10/2011
Don't know,27/10/2011,0.16,All Adults,27/10/2011
Approve,28/10/2011,0.25,All Adults,28/10/2011
Disapprove,29/10/2011,0.6,All Adults,29/10/2011
Don't know,30/10/2011,0.15,All Adults,30/10/2011
Approve,31/10/2011,0.26,All Adults,31/10/2011
Disapprove,01/11/2011,0.6,All Adults,01/11/2011
Don't know,02/11/2011,0.15,All Adults,02/11/2011
Approve,03/11/2011,0.25,All Adults,03/11/2011
Disapprove,04/11/2011,0.6,All Adults,04/11/2011
Don't know,05/11/2011,0.15,All Adults,05/11/2011
Approve,06/11/2011,0.27,All Adults,06/11/2011
