Approval,Date,Value,Variable
Disapprove,29/05/2013,0.6,All Adults
Don't know,29/05/2013,0.15,All Adults
Approve,05/06/2013,0.25,All Adults
Disapprove,05/06/2013,0.6,All Adults
Don't know,05/06/2013,0.15,All Adults
Approve,12/06/2013,0.25,All Adults
Disapprove,12/06/2013,0.59,All Adults
Don't know,12/06/2013,0.16,All Adults
Approve,19/06/2013,0.25,All Adults
Disapprove,19/06/2013,0.59,All Adults
Don't know,19/06/2013,0.15,All Adults
Approve,26/06/2013,0.26,All Adults
Disapprove,26/06/2013,0.58,All Adults
Don't know,26/06/2013,0.16,All Adults
Approve,03/07/2013,0.26,All Adults
Disapprove,03/07/2013,0.58,All Adults
Don't know,03/07/2013,0.16,All Adults
Approve,10/07/2013,0.27,All Adults
Disapprove,10/07/2013,0.58,All Adults
Don't know,10/07/2013,0.15,All Adults
Approve,16/07/2013,0.27,All Adults
Disapprove,16/07/2013,0.57,All Adults
Don't know,16/07/2013,0.16,All Adults
Approve,24/07/2013,0.28,All Adults
Disapprove,24/07/2013,0.57,All Adults
Don't know,24/07/2013,0.15,All Adults
Approve,30/07/2013,0.29,All Adults
Disapprove,30/07/2013,0.57,All Adults
Don't know,30/07/2013,0.15,All Adults
Approve,07/08/2013,0.28,All Adults
Disapprove,07/08/2013,0.56,All Adults
Don't know,07/08/2013,0.16,All Adults
Approve,14/08/2013,0.28,All Adults
Disapprove,14/08/2013,0.56,All Adults
Don't know,14/08/2013,0.16,All Adults
Approve,21/08/2013,0.28,All Adults
Disapprove,21/08/2013,0.57,All Adults
Don't know,21/08/2013,0.15,All Adults
Approve,28/08/2013,0.28,All Adults
Disapprove,28/08/2013,0.57,All Adults
Don't know,28/08/2013,0.15,All Adults
Approve,04/09/2013,0.28,All Adults
Disapprove,04/09/2013,0.56,All Adults
Don't know,04/09/2013,0.15,All Adults
Approve,11/09/2013,0.28,All Adults
Disapprove,11/09/2013,0.57,All Adults
Don't know,11/09/2013,0.16,All Adults
Approve,18/09/2013,0.3,All Adults
Disapprove,18/09/2013,0.54,All Adults
Don't know,18/09/2013,0.15,All Adults
Approve,23/09/2013,0.29,All Adults
Disapprove,23/09/2013,0.57,All Adults
Don't know,23/09/2013,0.14,All Adults
Approve,02/10/2013,0.3,All Adults
Disapprove,02/10/2013,0.55,All Adults
Don't know,02/10/2013,0.15,All Adults
Approve,09/10/2013,0.32,All Adults
Disapprove,09/10/2013,0.54,All Adults
Don't know,09/10/2013,0.14,All Adults
Approve,16/10/2013,0.31,All Adults
Disapprove,16/10/2013,0.54,All Adults
Don't know,16/10/2013,0.15,All Adults
Approve,23/10/2013,0.29,All Adults
Disapprove,23/10/2013,0.57,All Adults
Don't know,23/10/2013,0.14,All Adults
Approve,30/10/2013,0.28,All Adults
Disapprove,30/10/2013,0.57,All Adults
Don't know,30/10/2013,0.15,All Adults
Approve,06/11/2013,0.28,All Adults
Disapprove,06/11/2013,0.55,All Adults
Don't know,06/11/2013,0.16,All Adults
Approve,12/11/2013,0.28,All Adults
Disapprove,12/11/2013,0.57,All Adults
Don't know,12/11/2013,0.15,All Adults
Approve,20/11/2013,0.29,All Adults
Disapprove,20/11/2013,0.56,All Adults
Don't know,20/11/2013,0.15,All Adults
Approve,27/11/2013,0.29,All Adults
Disapprove,27/11/2013,0.56,All Adults
Don't know,27/11/2013,0.15,All Adults
Approve,04/12/2013,0.28,All Adults
Disapprove,04/12/2013,0.56,All Adults
Don't know,04/12/2013,0.16,All Adults
Approve,10/12/2013,0.29,All Adults
Disapprove,10/12/2013,0.55,All Adults
Don't know,10/12/2013,0.16,All Adults
Approve,12/12/2013,0.32,All Adults
Disapprove,12/12/2013,0.53,All Adults
Don't know,12/12/2013,0.15,All Adults
Approve,19/12/2013,0.3,All Adults
Disapprove,19/12/2013,0.55,All Adults
Don't know,19/12/2013,0.15,All Adults
Approve,08/01/2014,0.29,All Adults
Disapprove,08/01/2014,0.56,All Adults
Don't know,08/01/2014,0.15,All Adults
Approve,15/01/2014,0.29,All Adults
Disapprove,15/01/2014,0.55,All Adults
Don't know,15/01/2014,0.16,All Adults
Approve,22/01/2014,0.29,All Adults
Disapprove,22/01/2014,0.56,All Adults
Don't know,22/01/2014,0.15,All Adults
Approve,29/01/2014,0.31,All Adults
Disapprove,29/01/2014,0.53,All Adults
Don't know,29/01/2014,0.15,All Adults
Approve,30/01/2014,0.32,All Adults
Disapprove,30/01/2014,0.53,All Adults
Don't know,30/01/2014,0.15,All Adults
Approve,12/02/2014,0.3,All Adults
Disapprove,12/02/2014,0.55,All Adults
Don't know,12/02/2014,0.15,All Adults
Approve,18/02/2014,0.3,All Adults
Disapprove,18/02/2014,0.55,All Adults
Don't know,18/02/2014,0.15,All Adults
Approve,26/02/2014,0.31,All Adults
Disapprove,26/02/2014,0.56,All Adults
Don't know,26/02/2014,0.13,All Adults
Approve,05/03/2014,0.32,All Adults
Disapprove,05/03/2014,0.55,All Adults
Don't know,05/03/2014,0.14,All Adults
Approve,12/03/2014,0.31,All Adults
Disapprove,12/03/2014,0.54,All Adults
Don't know,12/03/2014,0.15,All Adults
Approve,19/03/2014,0.31,All Adults
Disapprove,19/03/2014,0.54,All Adults
Don't know,19/03/2014,0.15,All Adults
Approve,26/03/2014,0.34,All Adults
Disapprove,26/03/2014,0.51,All Adults
Don't know,26/03/2014,0.15,All Adults
Approve,02/04/2014,0.33,All Adults
Disapprove,02/04/2014,0.53,All Adults
Don't know,02/04/2014,0.15,All Adults
Approve,09/04/2014,0.32,All Adults
Disapprove,09/04/2014,0.53,All Adults
Don't know,09/04/2014,0.15,All Adults
Approve,16/04/2014,0.32,All Adults
Disapprove,16/04/2014,0.53,All Adults
Don't know,16/04/2014,0.15,All Adults
Approve,23/04/2014,0.33,All Adults
Disapprove,23/04/2014,0.52,All Adults
Don't know,23/04/2014,0.15,All Adults
Approve,30/04/2014,0.32,All Adults
Disapprove,30/04/2014,0.53,All Adults
Don't know,30/04/2014,0.15,All Adults
Approve,07/05/2014,0.32,All Adults
Disapprove,07/05/2014,0.52,All Adults
Don't know,07/05/2014,0.16,All Adults
Approve,14/05/2014,0.32,All Adults
Disapprove,14/05/2014,0.53,All Adults
Don't know,14/05/2014,0.15,All Adults
Approve,21/05/2014,0.32,All Adults
Disapprove,21/05/2014,0.54,All Adults
Don't know,21/05/2014,0.14,All Adults
Approve,28/05/2014,0.31,All Adults
Disapprove,28/05/2014,0.55,All Adults
Don't know,28/05/2014,0.14,All Adults
Approve,04/06/2014,0.32,All Adults
Disapprove,04/06/2014,0.53,All Adults
Don't know,04/06/2014,0.15,All Adults
Approve,11/06/2014,0.31,All Adults
Disapprove,11/06/2014,0.54,All Adults
Don't know,11/06/2014,0.14,All Adults
Approve,18/06/2014,0.33,All Adults
Disapprove,18/06/2014,0.52,All Adults
Don't know,18/06/2014,0.15,All Adults
Approve,25/06/2014,0.31,All Adults
Disapprove,25/06/2014,0.54,All Adults
Don't know,25/06/2014,0.15,All Adults
Approve,01/07/2014,0.31,All Adults
Disapprove,01/07/2014,0.54,All Adults
Don't know,01/07/2014,0.16,All Adults
Approve,09/07/2014,0.31,All Adults
Disapprove,09/07/2014,0.52,All Adults
Don't know,09/07/2014,0.16,All Adults
Approve,16/07/2014,0.31,All Adults
Disapprove,16/07/2014,0.53,All Adults
Don't know,16/07/2014,0.16,All Adults
Approve,23/07/2014,0.3,All Adults
Disapprove,23/07/2014,0.54,All Adults
Don't know,23/07/2014,0.15,All Adults
Approve,30/07/2014,0.32,All Adults
Disapprove,30/07/2014,0.52,All Adults
Don't know,30/07/2014,0.16,All Adults
Approve,04/08/2014,0.32,All Adults
Disapprove,04/08/2014,0.53,All Adults
Don't know,04/08/2014,0.16,All Adults
Approve,12/08/2014,0.32,All Adults
Disapprove,12/08/2014,0.52,All Adults
Don't know,12/08/2014,0.16,All Adults
Approve,20/08/2014,0.31,All Adults
Disapprove,20/08/2014,0.52,All Adults
Don't know,20/08/2014,0.16,All Adults
